epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,744.87,0.25842,0.3054,0.97509,0.9914,0.99336,0.98958,0.97,0.24977,0.27397,0.76305,0.000369054,0.000369054,0.000369054
62,758.637,0.26651,0.3049,0.9711,0.99205,0.9874,0.98828,0.97155,0.24611,0.26558,0.75049,0.000360055,0.000360055,0.000360055
63,772.319,0.26231,0.30533,0.97135,0.99356,0.99055,0.98721,0.97408,0.2496,0.25676,0.7668,0.000351056,0.000351056,0.000351056
64,786.467,0.25865,0.3003,0.96272,0.9899,0.99336,0.9866,0.97087,0.24514,0.27106,0.74826,0.000342057,0.000342057,0.000342057
65,800.643,0.27684,0.32722,0.98672,0.99165,0.99084,0.9865,0.97111,0.25065,0.2714,0.75682,0.000333058,0.000333058,0.000333058
66,814.509,0.26228,0.30739,0.97491,0.98389,0.98448,0.98916,0.97066,0.2405,0.36942,0.74805,0.000324058,0.000324058,0.000324058
67,827.568,0.24958,0.28407,0.96876,0.98946,0.98671,0.98749,0.96957,0.2361,0.26157,0.74583,0.000315059,0.000315059,0.000315059
68,840.876,0.26312,0.28985,0.97199,0.99178,0.99227,0.9865,0.967,0.25841,0.26897,0.77571,0.00030606,0.00030606,0.00030606
69,854.212,0.26359,0.3021,0.97877,0.99283,0.98952,0.98769,0.97515,0.22614,0.23126,0.73579,0.000297061,0.000297061,0.000297061
70,867.692,0.25631,0.28067,0.97318,0.99328,0.99244,0.9865,0.97073,0.23901,0.23738,0.73986,0.000288062,0.000288062,0.000288062
71,881.112,0.25028,0.2955,0.96573,0.99394,0.99336,0.98643,0.97147,0.22578,0.2334,0.72523,0.000279063,0.000279063,0.000279063
72,894.702,0.25112,0.28162,0.96611,0.9935,0.9895,0.98714,0.97309,0.22137,0.24558,0.72806,0.000270064,0.000270064,0.000270064
73,908.279,0.24092,0.27936,0.96289,0.99317,0.9901,0.98721,0.9712,0.22878,0.24196,0.72787,0.000261065,0.000261065,0.000261065
74,921.904,0.23925,0.27867,0.9629,0.98929,0.99164,0.98637,0.96952,0.23415,0.25091,0.73644,0.000252066,0.000252066,0.000252066
75,935.368,0.2462,0.27104,0.97187,0.98967,0.98937,0.9866,0.97252,0.24013,0.26017,0.74889,0.000243067,0.000243067,0.000243067
76,948.982,0.24643,0.27161,0.97091,0.98748,0.9838,0.98652,0.97343,0.24172,0.25938,0.75572,0.000234068,0.000234068,0.000234068
77,962.728,0.24264,0.27605,0.96246,0.99307,0.99062,0.98697,0.97219,0.24075,0.24543,0.74895,0.000225068,0.000225068,0.000225068
78,976.499,0.24689,0.27102,0.96867,0.98959,0.98883,0.98788,0.97824,0.22636,0.25944,0.72982,0.000216069,0.000216069,0.000216069
79,989.762,0.23731,0.26457,0.9583,0.99175,0.98771,0.98865,0.98115,0.21618,0.23691,0.71612,0.00020707,0.00020707,0.00020707
80,1001.51,0.23888,0.26092,0.96726,0.98934,0.98903,0.98683,0.97655,0.21845,0.23981,0.71894,0.000198071,0.000198071,0.000198071
81,1014.22,0.23322,0.2581,0.96134,0.99283,0.99193,0.98721,0.97502,0.20482,0.24641,0.70276,0.000189072,0.000189072,0.000189072
82,1028.42,0.23937,0.25358,0.96381,0.99266,0.98684,0.98685,0.98055,0.20471,0.23279,0.70551,0.000180073,0.000180073,0.000180073
83,1043.2,0.24094,0.25356,0.96657,0.99126,0.98601,0.9879,0.97663,0.2167,0.23519,0.71895,0.000171074,0.000171074,0.000171074
84,1058.37,0.24245,0.25951,0.9623,0.98975,0.9856,0.98773,0.97908,0.20844,0.23487,0.71355,0.000162075,0.000162075,0.000162075
85,1073.76,0.22798,0.2507,0.95853,0.9926,0.99336,0.98697,0.98024,0.2082,0.22212,0.71259,0.000153076,0.000153076,0.000153076
86,1086.33,0.23347,0.24824,0.96018,0.9872,0.99336,0.98471,0.97602,0.23656,0.26188,0.72895,0.000144077,0.000144077,0.000144077
87,1096.92,0.24121,0.25562,0.97153,0.99317,0.99336,0.9869,0.98321,0.20875,0.22535,0.71065,0.000135077,0.000135077,0.000135077
88,1107.48,0.22405,0.25314,0.95536,0.99311,0.99336,0.98684,0.97819,0.20142,0.21623,0.70485,0.000126078,0.000126078,0.000126078
89,1118.07,0.21933,0.24585,0.9498,0.99355,0.99279,0.98707,0.98099,0.19162,0.22225,0.69484,0.000117079,0.000117079,0.000117079
90,1129.35,0.2152,0.22991,0.94923,0.99388,0.9913,0.98714,0.97745,0.20853,0.223,0.70718,0.00010808,0.00010808,0.00010808
